Loan Number,Loan Officer,Primary Borrower,Co-Borrowers,Primary Borrower: Email,Co-Borrowers: Email,Subject Property: Address: 1,Subject Property: Address: State,Funding Date,Program,Total Loan Amount,Doc Signed Date,Interest Rate,Custom: PCL Loan Type,LTV,CLTV,DTI
3359XXX,Brad Overlin,Mock Borrower 354,,mock_354@example.com,mock_co_354@example.com,"6497 Mock St, City, WA 12345",WA,2/12/2021,C30,"$464,000.00",2/8/2021,2.875%,Conventional,79.590%,79.588%,0.000%
3340XXX,Brad Overlin,Mock Borrower 355,,mock_355@example.com,mock_co_355@example.com,"2906 Mock St, City, WA 12345",WA,2/9/2021,C30,"$537,000.00",2/5/2021,2.750%,Conventional,60.000%,60.000%,0.000%
3317XXX,Brad Overlin,Mock Borrower 356,,mock_356@example.com,mock_co_356@example.com,"9432 Mock St, City, WA 12345",WA,1/13/2021,C30,"$215,000.00",1/12/2021,2.990%,Conventional,53.750%,53.750%,0.000%
3341XXX,Brad Overlin,Mock Borrower 357,,mock_357@example.com,mock_co_357@example.com,"7882 Mock St, City, WA 12345",WA,2/11/2021,C30,"$548,250.00",2/8/2021,3.125%,Conventional,74.590%,74.592%,0.000%
3326XXX,Brad Overlin,Mock Borrower 358,,mock_358@example.com,mock_co_358@example.com,"9637 Mock St, City, WA 12345",WA,1/26/2021,C30,"$335,300.00",1/21/2021,2.937%,Conventional,59.450%,59.450%,0.000%
3272XXX,Brad Overlin,Mock Borrower 359,,mock_359@example.com,,"3591 Mock St, City, WA 12345",WA,10/29/2020,FHA 30,"$407,483.00",10/27/2020,3.125%,FHA,96.500%,96.500%,0.000%
3339XXX,Brad Overlin,Mock Borrower 360,,mock_360@example.com,mock_co_360@example.com,"360 Mock St, City, WA 12345",WA,1/12/2021,C 30 HB,"$765,000.00",1/6/2021,2.500%,Conventional,66.520%,66.522%,0.000%
3354XXX,Brad Overlin,Mock Borrower 361,,mock_361@example.com,,"4406 Mock St, City, WA 12345",WA,1/21/2021,C30,"$536,000.00",1/21/2021,2.625%,Conventional,80.000%,80.000%,0.000%
3332XXX,Brad Overlin,Mock Borrower 362,,mock_362@example.com,,"399 Mock St, City, WA 12345",WA,1/27/2021,C30,"$297,500.00",1/22/2021,2.875%,Conventional,63.300%,63.298%,0.000%
2789XXX,Brad Overlin,Mock Borrower 363,,mock_363@example.com,mock_co_363@example.com,"3769 Mock St, City, WA 12345",WA,1/27/2021,C30,"$476,000.00",1/22/2021,2.875%,Conventional,70.000%,70.000%,0.000%
2969XXX,Brad Overlin,Mock Borrower 364,,mock_364@example.com,,"8797 Mock St, City, WA 12345",WA,1/27/2021,C30,"$513,000.00",1/22/2021,2.875%,Conventional,57.000%,58.442%,0.000%
3334XXX,Brad Overlin,Mock Borrower 365,,mock_365@example.com,mock_co_365@example.com,"601 Mock St, City, WA 12345",WA,1/25/2021,C30,"$485,364.00",1/20/2021,2.437%,Conventional,57.100%,70.971%,0.000%
3319XXX,Brad Overlin,Mock Borrower 366,,mock_366@example.com,mock_co_366@example.com,"6866 Mock St, City, WA 12345",WA,1/22/2021,C30,"$481,600.00",1/18/2021,2.812%,Conventional,80.000%,80.000%,0.000%
3343XXX,Brad Overlin,Mock Borrower 367,,mock_367@example.com,mock_co_367@example.com,"7956 Mock St, City, WA 12345",WA,1/25/2021,C30,"$337,500.00",1/20/2021,2.875%,Conventional,71.810%,71.808%,0.000%
3322XXX,Brad Overlin,Mock Borrower 368,,mock_368@example.com,mock_co_368@example.com,"7787 Mock St, City, WA 12345",WA,12/22/2020,J 30 Amber,"$1,500,000.00",12/21/2020,2.750%,Conventional,64.210%,64.212%,0.000%
3290XXX,Brad Overlin,Mock Borrower 369,,mock_369@example.com,,"1280 Mock St, City, WA 12345",WA,12/8/2020,WSHFC HFA Advantage (Conv) w/ADV DPA,"$357,864.00",12/7/2020,3.500%,Conventional,96.720%,100.589%,0.000%
3321XXX,Brad Overlin,Mock Borrower 370,,mock_370@example.com,mock_co_370@example.com,"2804 Mock St, City, WA 12345",WA,1/21/2021,C 30 HB,"$547,500.00",1/12/2021,2.990%,Conventional,73.000%,73.000%,0.000%
3043XXX,Brad Overlin,Mock Borrower 371,,mock_371@example.com,mock_co_371@example.com,"791 Mock St, City, WA 12345",WA,11/20/2020,C30,"$408,000.00",11/19/2020,2.812%,Conventional,80.000%,80.000%,0.000%
3227XXX,Brad Overlin,Mock Borrower 372,,mock_372@example.com,,"3829 Mock St, City, WA 12345",WA,11/4/2020,C 30 HB,"$624,000.00",10/30/2020,3.625%,Conventional,62.780%,62.777%,0.000%
3278XXX,Brad Overlin,Mock Borrower 373,,mock_373@example.com,mock_co_373@example.com,"8302 Mock St, City, WA 12345",WA,11/20/2020,WSHFC HFA Advantage (Conv) – NO WSHFC DPA,"$334,650.00",11/13/2020,2.875%,Conventional,97.000%,97.000%,0.000%
3011XXX,Brad Overlin,Mock Borrower 374,,mock_374@example.com,mock_co_374@example.com,"7494 Mock St, City, AZ 12345",AZ,2/28/2020,C30,"$300,000.00",2/26/2020,3.562%,Conventional,75.000%,75.000%,0.000%
3332XXX,Brad Overlin,Mock Borrower 375,,mock_375@example.com,,"8230 Mock St, City, WA 12345",WA,1/15/2021,J 30 Diamond,"$1,476,000.00",1/8/2021,2.750%,Conventional,77.680%,77.684%,0.000%
3219XXX,Brad Overlin,Mock Borrower 376,,mock_376@example.com,mock_co_376@example.com,"1955 Mock St, City, WA 12345",WA,12/24/2020,WSHFC Home Advantage (FHA) w/ Adv DPA,"$392,755.00",12/23/2020,2.875%,FHA,96.500%,100.427%,0.000%
3216XXX,Brad Overlin,Mock Borrower 377,,mock_377@example.com,mock_co_377@example.com,"2155 Mock St, City, WA 12345",WA,10/28/2020,C30,"$384,450.00",10/23/2020,3.125%,Conventional,81.800%,81.798%,0.000%
3296XXX,Brad Overlin,Mock Borrower 378,,mock_378@example.com,mock_co_378@example.com,"3201 Mock St, City, WA 12345",WA,11/20/2020,C 30 HB,"$612,000.00",11/18/2020,2.625%,Conventional,68.000%,68.000%,0.000%
3334XXX,Brad Overlin,Mock Borrower 379,,mock_379@example.com,,"8341 Mock St, City, WA 12345",WA,1/15/2021,C30,"$413,250.00",1/13/2021,2.750%,Conventional,95.000%,95.000%,0.000%
3315XXX,Brad Overlin,Mock Borrower 380,,mock_380@example.com,,"5087 Mock St, City, WA 12345",WA,1/19/2021,C30,"$444,386.00",1/13/2021,2.687%,Conventional,82.290%,82.294%,0.000%
3322XXX,Brad Overlin,Mock Borrower 381,,mock_381@example.com,,"7941 Mock St, City, WA 12345",WA,1/15/2021,VA 30,"$310,000.00",1/13/2021,2.250%,VA,100.000%,100.000%,0.000%
3311XXX,Brad Overlin,Mock Borrower 382,,mock_382@example.com,mock_co_382@example.com,"2838 Mock St, City, WA 12345",WA,1/12/2021,C30,"$414,228.00",1/6/2021,2.875%,Conventional,85.410%,85.408%,0.000%
3314XXX,Brad Overlin,Mock Borrower 383,,mock_383@example.com,mock_co_383@example.com,"526 Mock St, City, WA 12345",WA,1/8/2021,VA IRRRL 30,"$285,420.00",1/4/2021,3.125%,VA,81.140%,81.143%,0.000%
3231XXX,Brad Overlin,Mock Borrower 384,,mock_384@example.com,mock_co_384@example.com,"1259 Mock St, City, WA 12345",WA,12/28/2020,C 30 HB,"$664,500.00",12/22/2020,2.875%,Conventional,75.000%,75.000%,0.000%
3257XXX,Brad Overlin,Mock Borrower 385,,mock_385@example.com,mock_co_385@example.com,"4081 Mock St, City, WA 12345",WA,12/24/2020,WSHFC Advantage 2nd Lien w GVT 1st ,"$15,710.00",12/23/2020,0.000%,Conventional,0.000%,104.467%,0.000%
2975XXX,Brad Overlin,Mock Borrower 386,,mock_386@example.com,,"8986 Mock St, City, WA 12345",WA,12/30/2020,C30,"$532,000.00",12/22/2020,2.687%,Conventional,80.000%,80.000%,0.000%
3349XXX,Brad Overlin,Mock Borrower 387,,mock_387@example.com,,"7786 Mock St, City, WA 12345",WA,12/30/2020,VA 30,"$197,541.00",12/29/2020,2.250%,VA,99.030%,99.026%,0.000%
3337XXX,Brad Overlin,Mock Borrower 388,,mock_388@example.com,mock_co_388@example.com,"6394 Mock St, City, WA 12345",WA,12/30/2020,C 30 HB,"$655,827.00",12/23/2020,2.750%,Conventional,90.460%,90.459%,0.000%
3140XXX,Brad Overlin,Mock Borrower 389,,mock_389@example.com,,"9967 Mock St, City, WA 12345",WA,12/29/2020,C 30 HB,"$741,500.00",12/23/2020,2.750%,Conventional,55.960%,55.962%,0.000%
3288XXX,Brad Overlin,Mock Borrower 390,,mock_390@example.com,,"4689 Mock St, City, WA 12345",WA,12/21/2020,C30,"$330,000.00",12/11/2020,2.990%,Conventional,60.550%,60.550%,0.000%
3277XXX,Brad Overlin,Mock Borrower 391,,mock_391@example.com,,"780 Mock St, City, WA 12345",WA,12/15/2020,C30,"$129,843.00",12/14/2020,2.500%,Conventional,68.700%,68.700%,0.000%
3231XXX,Brad Overlin,Mock Borrower 392,,mock_392@example.com,,"6544 Mock St, City, WA 12345",WA,12/18/2020,C 30 HB,"$686,250.00",12/15/2020,3.125%,Conventional,75.000%,75.000%,0.000%
3290XXX,Brad Overlin,Mock Borrower 393,,mock_393@example.com,,"5241 Mock St, City, WA 12345",WA,12/15/2020,C 30 HB,"$570,000.00",12/14/2020,2.990%,Conventional,53.270%,53.271%,0.000%
3312XXX,Brad Overlin,Mock Borrower 394,,mock_394@example.com,mock_co_394@example.com,"1177 Mock St, City, WA 12345",WA,12/15/2020,J 30 Diamond,"$960,000.00",12/11/2020,2.750%,Conventional,80.000%,80.000%,0.000%
3313XXX,Brad Overlin,Mock Borrower 395,,mock_395@example.com,,"7592 Mock St, City, WA 12345",WA,12/8/2020,WSHFC Advantage 2nd Lien ,"$14,314.00",12/7/2020,0.000%,Conventional,0.000%,100.589%,0.000%
3250XXX,Brad Overlin,Mock Borrower 396,,mock_396@example.com,mock_co_396@example.com,"4284 Mock St, City, WA 12345",WA,12/15/2020,C30,"$208,000.00",12/9/2020,2.990%,Conventional,54.880%,54.881%,0.000%
3310XXX,Brad Overlin,Mock Borrower 397,,mock_397@example.com,mock_co_397@example.com,"6874 Mock St, City, WA 12345",WA,11/30/2020,C 30 HB,"$517,074.00",11/23/2020,2.875%,Conventional,95.000%,95.000%,0.000%
3265XXX,Brad Overlin,Mock Borrower 398,,mock_398@example.com,,"9895 Mock St, City, WA 12345",WA,11/30/2020,C30,"$242,400.00",11/24/2020,2.500%,Conventional,48.480%,48.480%,0.000%
3264XXX,Brad Overlin,Mock Borrower 399,,mock_399@example.com,,"1495 Mock St, City, WA 12345",WA,11/30/2020,FHA 30,"$471,102.00",11/23/2020,3.000%,FHA,96.460%,96.458%,0.000%
3269XXX,Brad Overlin,Mock Borrower 400,,mock_400@example.com,mock_co_400@example.com,"7566 Mock St, City, WA 12345",WA,12/2/2020,WSHFC Home Adv (FHA) w ADV DPA (DTI),"$309,294.00",12/1/2020,2.875%,FHA,96.500%,100.427%,0.000%
3302XXX,Brad Overlin,Mock Borrower 401,,mock_401@example.com,mock_co_401@example.com,"8589 Mock St, City, WA 12345",WA,12/2/2020,WSHFC Advantage 2nd Lien w GVT 1st ,"$12,371.00",12/1/2020,0.000%,Conventional,0.000%,102.116%,0.000%
3260XXX,Brad Overlin,Mock Borrower 402,,mock_402@example.com,,"9821 Mock St, City, WA 12345",WA,11/17/2020,C30,"$247,434.00",11/12/2020,3.375%,Conventional,89.980%,89.976%,0.000%
3060XXX,Brad Overlin,Mock Borrower 403,,mock_403@example.com,mock_co_403@example.com,"2553 Mock St, City, WA 12345",WA,11/17/2020,C 30 HB,"$529,208.00",11/12/2020,2.990%,Conventional,82.690%,82.689%,0.000%
3243XXX,Brad Overlin,Mock Borrower 404,,mock_404@example.com,mock_co_404@example.com,"5933 Mock St, City, WA 12345",WA,11/17/2020,C 30 HB,"$741,500.00",11/16/2020,2.625%,Conventional,64.030%,64.033%,0.000%
3254XXX,Brad Overlin,Mock Borrower 405,,mock_405@example.com,mock_co_405@example.com,"3512 Mock St, City, WA 12345",WA,11/18/2020,C30,"$252,000.00",11/13/2020,2.990%,Conventional,80.000%,80.000%,0.000%
3251XXX,Brad Overlin,Mock Borrower 406,,mock_406@example.com,mock_co_406@example.com,"6685 Mock St, City, WA 12345",WA,11/16/2020,C30,"$364,000.00",11/10/2020,3.187%,Conventional,70.000%,70.000%,0.000%
3055XXX,Brad Overlin,Mock Borrower 407,,mock_407@example.com,,"7475 Mock St, City, WA 12345",WA,11/16/2020,C30,"$235,000.00",11/11/2020,2.750%,Conventional,69.940%,69.941%,0.000%
3277XXX,Brad Overlin,Mock Borrower 408,,mock_408@example.com,mock_co_408@example.com,"7468 Mock St, City, NV 12345",NV,10/27/2020,C30,"$144,875.00",10/22/2020,2.937%,Conventional,95.000%,95.000%,0.000%
2770XXX,Brad Overlin,Mock Borrower 409,,mock_409@example.com,,"6760 Mock St, City, WA 12345",WA,10/28/2020,FHA 30 HB,"$720,390.00",10/27/2020,3.000%,FHA,73.750%,73.750%,0.000%
3291XXX,Brad Overlin,Mock Borrower 410,,mock_410@example.com,mock_co_410@example.com,"972 Mock St, City, WA 12345",WA,10/27/2020,C 30 HB,"$715,500.00",10/26/2020,3.125%,Conventional,90.000%,90.000%,0.000%
2604XXX,Brad Overlin,Mock Borrower 411,,mock_411@example.com,mock_co_411@example.com,"9025 Mock St, City, WA 12345",WA,10/30/2020,C30,"$221,000.00",10/21/2020,2.562%,Conventional,36.830%,36.833%,0.000%
3234XXX,Brad Overlin,Mock Borrower 412,,mock_412@example.com,mock_co_412@example.com,"1478 Mock St, City, WA 12345",WA,10/23/2020,J 30 Crystal,"$840,000.00",10/19/2020,2.500%,Conventional,51.690%,51.692%,0.000%
2994XXX,Brad Overlin,Mock Borrower 413,,mock_413@example.com,mock_co_413@example.com,"5156 Mock St, City, WA 12345",WA,10/20/2020,C 30 HB,"$603,250.00",10/19/2020,2.750%,Conventional,95.000%,95.000%,0.000%
3231XXX,Brad Overlin,Mock Borrower 414,,mock_414@example.com,,"7501 Mock St, City, WA 12345",WA,10/13/2020,C30,"$357,009.00",10/6/2020,2.562%,Conventional,85.000%,85.002%,0.000%
3216XXX,Brad Overlin,Mock Borrower 415,,mock_415@example.com,mock_co_415@example.com,"807 Mock St, City, WA 12345",WA,10/20/2020,VA 30,"$472,672.00",10/15/2020,2.250%,VA,92.080%,92.079%,0.000%
3278XXX,Brad Overlin,Mock Borrower 416,,mock_416@example.com,,"2194 Mock St, City, WA 12345",WA,10/13/2020,WSHFC Advantage 2nd Lien ,"$17,382.00",10/10/2020,0.000%,Conventional,0.000%,100.880%,0.000%
3268XXX,Brad Overlin,Mock Borrower 417,,mock_417@example.com,mock_co_417@example.com,"2629 Mock St, City, WA 12345",WA,10/19/2020,C 30 HB,"$598,500.00",10/16/2020,2.875%,Conventional,95.000%,95.000%,0.000%
3232XXX,Brad Overlin,Mock Borrower 418,,mock_418@example.com,mock_co_418@example.com,"4475 Mock St, City, WA 12345",WA,10/9/2020,C20,"$376,382.00",10/5/2020,2.750%,Conventional,51.910%,51.915%,0.000%
3258XXX,Brad Overlin,Mock Borrower 419,,mock_419@example.com,mock_co_419@example.com,"3268 Mock St, City, WA 12345",WA,10/15/2020,J 30 Crystal,"$936,000.00",10/14/2020,2.625%,Conventional,80.000%,80.000%,0.000%
3228XXX,Brad Overlin,Mock Borrower 420,,mock_420@example.com,,"2556 Mock St, City, WA 12345",WA,10/13/2020,WSHFC HFA Preferred (Conv.) w/ Adv DPA,"$434,560.00",10/10/2020,3.375%,Conventional,97.000%,100.880%,0.000%
3217XXX,Brad Overlin,Mock Borrower 421,,mock_421@example.com,,"5077 Mock St, City, OR 12345",OR,9/30/2020,VA IRRRL 30,"$498,049.00",9/25/2020,2.375%,VA,98.850%,98.846%,0.000%
3215XXX,Brad Overlin,Mock Borrower 422,,mock_422@example.com,mock_co_422@example.com,"2801 Mock St, City, AZ 12345",AZ,9/25/2020,C30,"$301,500.00",9/23/2020,3.250%,Conventional,75.000%,75.000%,0.000%
3242XXX,Brad Overlin,Mock Borrower 423,,mock_423@example.com,mock_co_423@example.com,"4246 Mock St, City, CA 12345",CA,9/29/2020,C 30 HB,"$608,300.00",9/24/2020,2.875%,Conventional,70.000%,70.000%,0.000%
3207XXX,Brad Overlin,Mock Borrower 424,,mock_424@example.com,mock_co_424@example.com,"4005 Mock St, City, WA 12345",WA,9/30/2020,C30,"$364,000.00",9/25/2020,2.750%,Conventional,70.000%,70.000%,0.000%
3224XXX,Brad Overlin,Mock Borrower 425,,mock_425@example.com,mock_co_425@example.com,"5140 Mock St, City, WA 12345",WA,9/30/2020,C30,"$468,900.00",9/24/2020,2.875%,Conventional,60.000%,60.000%,0.000%
3214XXX,Brad Overlin,Mock Borrower 426,,mock_426@example.com,,"597 Mock St, City, WA 12345",WA,9/30/2020,C15,"$373,000.00",9/23/2020,2.500%,Conventional,67.820%,67.818%,0.000%
3269XXX,Brad Overlin,Mock Borrower 427,,mock_427@example.com,mock_co_427@example.com,"4075 Mock St, City, WA 12345",WA,9/30/2020,J 30 Crystal,"$900,000.00",9/29/2020,2.500%,Conventional,64.980%,64.982%,0.000%
3220XXX,Brad Overlin,Mock Borrower 428,,mock_428@example.com,,"7445 Mock St, City, WA 12345",WA,9/25/2020,WSHFC HFA Advantage (Conv) – NO WSHFC DPA,"$295,850.00",9/24/2020,2.875%,Conventional,97.000%,97.000%,0.000%
3223XXX,Brad Overlin,Mock Borrower 429,,mock_429@example.com,mock_co_429@example.com,"8209 Mock St, City, WA 12345",WA,9/24/2020,C 30 HB,"$623,000.00",9/17/2020,2.875%,Conventional,74.970%,74.970%,0.000%
3217XXX,Brad Overlin,Mock Borrower 430,,mock_430@example.com,,"9198 Mock St, City, WA 12345",WA,9/28/2020,C30,"$506,000.00",9/22/2020,2.500%,Conventional,51.630%,51.633%,0.000%
3219XXX,Brad Overlin,Mock Borrower 431,,mock_431@example.com,mock_co_431@example.com,"1019 Mock St, City, OR 12345",OR,9/23/2020,C30,"$247,800.00",9/18/2020,2.990%,Conventional,70.000%,70.000%,0.000%
3057XXX,Brad Overlin,Mock Borrower 432,,mock_432@example.com,mock_co_432@example.com,"2318 Mock St, City, WA 12345",WA,9/28/2020,C15,"$175,000.00",9/21/2020,2.500%,Conventional,28.930%,28.926%,0.000%
3222XXX,Brad Overlin,Mock Borrower 433,,mock_433@example.com,mock_co_433@example.com,"4612 Mock St, City, WA 12345",WA,9/21/2020,C30,"$450,000.00",9/16/2020,2.937%,Conventional,60.000%,60.000%,0.000%
3206XXX,Brad Overlin,Mock Borrower 434,,mock_434@example.com,mock_co_434@example.com,"1906 Mock St, City, WA 12345",WA,9/23/2020,C 30 HB,"$607,000.00",9/18/2020,2.990%,Conventional,74.940%,74.938%,0.000%
3209XXX,Brad Overlin,Mock Borrower 435,,mock_435@example.com,mock_co_435@example.com,"3992 Mock St, City, WA 12345",WA,9/23/2020,C30,"$162,000.00",9/21/2020,3.562%,Conventional,46.290%,46.286%,0.000%
3193XXX,Brad Overlin,Mock Borrower 436,,mock_436@example.com,mock_co_436@example.com,"4310 Mock St, City, WA 12345",WA,9/22/2020,C 30 HB,"$664,930.00",9/15/2020,3.250%,Conventional,94.990%,94.990%,0.000%
3193XXX,Brad Overlin,Mock Borrower 437,,mock_437@example.com,mock_co_437@example.com,"639 Mock St, City, WA 12345",WA,9/18/2020,C30,"$357,000.00",9/17/2020,3.562%,Conventional,66.730%,66.729%,0.000%
3244XXX,Brad Overlin,Mock Borrower 438,,mock_438@example.com,mock_co_438@example.com,"991 Mock St, City, WA 12345",WA,9/15/2020,C 30 HB,"$652,500.00",9/14/2020,2.625%,Conventional,75.000%,75.000%,0.000%
3193XXX,Brad Overlin,Mock Borrower 439,,mock_439@example.com,mock_co_439@example.com,"8912 Mock St, City, WA 12345",WA,9/11/2020,C30,"$510,000.00",9/10/2020,2.937%,Conventional,85.000%,85.000%,0.000%
3227XXX,Brad Overlin,Mock Borrower 440,,mock_440@example.com,mock_co_440@example.com,"4513 Mock St, City, WA 12345",WA,9/10/2020,C30,"$376,000.00",9/8/2020,3.625%,Conventional,80.000%,80.000%,0.000%
3200XXX,Brad Overlin,Mock Borrower 441,,mock_441@example.com,,"4561 Mock St, City, WA 12345",WA,8/31/2020,C30,"$472,500.00",8/24/2020,2.937%,Conventional,52.500%,52.500%,0.000%
3188XXX,Brad Overlin,Mock Borrower 442,,mock_442@example.com,mock_co_442@example.com,"495 Mock St, City, CA 12345",CA,8/24/2020,C30,"$377,500.00",8/17/2020,2.500%,Conventional,41.940%,41.944%,0.000%
3200XXX,Brad Overlin,Mock Borrower 443,,mock_443@example.com,mock_co_443@example.com,"8216 Mock St, City, WA 12345",WA,8/31/2020,C30,"$300,000.00",8/25/2020,2.990%,Conventional,75.000%,75.000%,0.000%
3200XXX,Brad Overlin,Mock Borrower 444,,mock_444@example.com,mock_co_444@example.com,"845 Mock St, City, WA 12345",WA,8/17/2020,C30,"$460,000.00",8/10/2020,2.500%,Conventional,80.000%,80.000%,0.000%
3192XXX,Brad Overlin,Mock Borrower 445,,mock_445@example.com,,"3308 Mock St, City, WA 12345",WA,8/21/2020,C 30 HB,"$741,500.00",8/17/2020,2.990%,Conventional,63.110%,63.106%,0.000%
3202XXX,Brad Overlin,Mock Borrower 446,,mock_446@example.com,,"696 Mock St, City, WA 12345",WA,8/24/2020,C30,"$220,000.00",8/20/2020,4.125%,Conventional,80.000%,80.000%,0.000%
3199XXX,Brad Overlin,Mock Borrower 447,,mock_447@example.com,mock_co_447@example.com,"1283 Mock St, City, WA 12345",WA,8/21/2020,C30,"$295,000.00",8/20/2020,3.437%,Conventional,74.680%,74.683%,0.000%
3215XXX,Brad Overlin,Mock Borrower 448,,mock_448@example.com,mock_co_448@example.com,"6242 Mock St, City, WA 12345",WA,8/19/2020,C 30 HB,"$576,480.00",8/13/2020,2.990%,Conventional,80.000%,80.000%,0.000%
3178XXX,Brad Overlin,Mock Borrower 449,,mock_449@example.com,mock_co_449@example.com,"9495 Mock St, City, WA 12345",WA,8/19/2020,C30,"$379,000.00",8/14/2020,2.990%,Conventional,59.970%,59.968%,0.000%
3173XXX,Brad Overlin,Mock Borrower 450,,mock_450@example.com,mock_co_450@example.com,"9397 Mock St, City, WA 12345",WA,8/17/2020,HomeReady 30,"$302,350.00",8/12/2020,2.990%,Conventional,90.800%,90.796%,0.000%
3188XXX,Brad Overlin,Mock Borrower 451,,mock_451@example.com,mock_co_451@example.com,"9206 Mock St, City, WA 12345",WA,8/14/2020,C30,"$295,000.00",8/10/2020,2.990%,Conventional,71.950%,71.951%,0.000%
3168XXX,Brad Overlin,Mock Borrower 452,,mock_452@example.com,mock_co_452@example.com,"5388 Mock St, City, OR 12345",OR,8/12/2020,VA 30 HB,"$565,000.00",8/10/2020,3.375%,VA,100.000%,100.000%,0.000%
3178XXX,Brad Overlin,Mock Borrower 453,,mock_453@example.com,mock_co_453@example.com,"2485 Mock St, City, WA 12345",WA,8/12/2020,C15,"$371,800.00",8/7/2020,2.500%,Conventional,64.660%,64.661%,0.000%
3180XXX,Brad Overlin,Mock Borrower 454,,mock_454@example.com,mock_co_454@example.com,"9421 Mock St, City, WA 12345",WA,8/11/2020,C 30 HB,"$551,150.00",8/5/2020,2.990%,Conventional,94.210%,94.214%,0.000%
3223XXX,Brad Overlin,Mock Borrower 455,,mock_455@example.com,mock_co_455@example.com,"5049 Mock St, City, WA 12345",WA,8/7/2020,C 30 HB,"$552,500.00",8/6/2020,2.990%,Conventional,85.000%,85.000%,0.000%
3167XXX,Brad Overlin,Mock Borrower 456,,mock_456@example.com,mock_co_456@example.com,"6141 Mock St, City, WA 12345",WA,7/29/2020,C30,"$195,000.00",7/22/2020,3.937%,Conventional,75.000%,75.000%,0.000%
3159XXX,Brad Overlin,Mock Borrower 457,,mock_457@example.com,,"8527 Mock St, City, WA 12345",WA,8/4/2020,WSHFC Home Advantage (FHA) w/ Adv DPA,"$421,229.00",8/3/2020,3.000%,FHA,96.500%,100.428%,0.000%
3189XXX,Brad Overlin,Mock Borrower 458,,mock_458@example.com,,"5176 Mock St, City, WA 12345",WA,8/4/2020,WSHFC Advantage 2nd Lien w GVT 1st ,"$16,849.00",8/3/2020,0.000%,Conventional,0.000%,102.116%,0.000%
3195XXX,Brad Overlin,Mock Borrower 459,,mock_459@example.com,mock_co_459@example.com,"5240 Mock St, City, TX 12345",TX,8/3/2020,C30,"$481,500.00",7/31/2020,2.875%,Conventional,90.000%,90.000%,0.000%
3036XXX,Brad Overlin,Mock Borrower 460,,mock_460@example.com,,"2723 Mock St, City, WA 12345",WA,8/3/2020,C 30 HB,"$717,000.00",7/27/2020,2.990%,Conventional,92.520%,92.516%,0.000%
3166XXX,Brad Overlin,Mock Borrower 461,,mock_461@example.com,mock_co_461@example.com,"9638 Mock St, City, WA 12345",WA,7/28/2020,C30,"$125,000.00",7/22/2020,3.875%,Conventional,28.280%,28.280%,0.000%
3147XXX,Brad Overlin,Mock Borrower 462,,mock_462@example.com,mock_co_462@example.com,"5913 Mock St, City, OR 12345",OR,7/21/2020,C30,"$323,405.00",7/16/2020,2.750%,Conventional,93.740%,93.741%,0.000%
3167XXX,Brad Overlin,Mock Borrower 463,,mock_463@example.com,mock_co_463@example.com,"3084 Mock St, City, WA 12345",WA,7/17/2020,C30,"$376,000.00",7/15/2020,2.990%,Conventional,80.000%,80.000%,0.000%
3156XXX,Brad Overlin,Mock Borrower 464,,mock_464@example.com,mock_co_464@example.com,"2711 Mock St, City, WA 12345",WA,7/20/2020,C30,"$510,400.00",7/13/2020,3.062%,Conventional,56.710%,56.711%,0.000%
3152XXX,Brad Overlin,Mock Borrower 465,,mock_465@example.com,mock_co_465@example.com,"4671 Mock St, City, WA 12345",WA,7/15/2020,C30,"$431,072.00",7/8/2020,2.990%,Conventional,47.900%,47.897%,0.000%
3166XXX,Brad Overlin,Mock Borrower 466,,mock_466@example.com,,"6056 Mock St, City, NV 12345",NV,7/13/2020,C30,"$196,000.00",7/9/2020,2.990%,Conventional,80.000%,80.000%,0.000%
3152XXX,Brad Overlin,Mock Borrower 467,,mock_467@example.com,mock_co_467@example.com,"5679 Mock St, City, WA 12345",WA,7/13/2020,C30,"$328,000.00",7/8/2020,3.312%,Conventional,80.000%,80.000%,0.000%
3135XXX,Brad Overlin,Mock Borrower 468,,mock_468@example.com,mock_co_468@example.com,"4055 Mock St, City, WA 12345",WA,7/9/2020,VA 30,"$346,024.00",7/6/2020,3.000%,VA,100.000%,100.000%,-100.000%
3112XXX,Brad Overlin,Mock Borrower 469,,mock_469@example.com,,"1586 Mock St, City, WA 12345",WA,7/7/2020,FHA 30,"$420,247.00",7/6/2020,3.625%,FHA,96.500%,96.500%,0.000%
3176XXX,Brad Overlin,Mock Borrower 470,,mock_470@example.com,mock_co_470@example.com,"9337 Mock St, City, WA 12345",WA,7/7/2020,C 30 HB,"$704,000.00",7/7/2020,3.500%,Conventional,80.000%,89.989%,0.000%
3113XXX,Brad Overlin,Mock Borrower 471,,mock_471@example.com,mock_co_471@example.com,"4745 Mock St, City, WA 12345",WA,7/6/2020,C30,"$216,800.00",6/29/2020,3.990%,Conventional,80.000%,80.000%,0.000%
3151XXX,Brad Overlin,Mock Borrower 472,,mock_472@example.com,,"331 Mock St, City, WA 12345",WA,7/2/2020,C30,"$272,000.00",7/1/2020,2.937%,Conventional,73.120%,73.118%,0.000%
3127XXX,Brad Overlin,Mock Borrower 473,,mock_473@example.com,mock_co_473@example.com,"5020 Mock St, City, OR 12345",OR,6/29/2020,C30,"$287,964.00",6/24/2020,3.437%,Conventional,89.990%,89.989%,0.000%
